Question,Equation,Answer,Numbers
There are number0 birds and number1 nests . How many more birds are there than nests ?,- number0 number1,3.0,6.0 3.0
there are number0 dogs number1 fish and number2 cats at my farm . how many pets do i have at my farm ?,+ + number0 number1 number2,149.0,43.0 72.0 34.0
Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries . How many pounds of fruit did Scarlett use in all ?,+ number0 number1,0.625,0.25 0.375
Jack is inviting number0 friends to a party . He has number1 cookies . How many cookies will each friend get ?,/ number1 number0,1.0,4.0 4.0
maria had number0 pieces of candy . she ate number1 pieces . how many pieces of candy does maria have now ?,- number0 number1,3.0,67.0 64.0
"Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons . How many watermelons does Jessica have ?",- number0 number2,8,35.0 30.0 27.0
a waiter had number0 customers . after some left he still had number1 customers . what 's the difference between the number of customers before leaving and after leaving ?,- number0 number1,15.0,19.0 4.0
"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",* - number0 number2 number1,49.0,12.0 7.0 5.0
Dan bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Dan buy ?,* number0 12.0,108.0,9.0
There are number0 pencils in the drawer . Nancy placed number1 pencils in the drawer . How many pencils are now there in total ?,+ number0 number1,72,27.0 45.0
"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?",- + number0 number2 number1,41.0,11.0 2.0 32.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Vanessa sold all but number2 bars , how much money would she have made ?",* - number1 number2 number0,16.0,4.0 11.0 7.0
"Haley picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",- + number0 number2 number1,26.0,28.0 11.0 9.0
across the river he fell into a hole . to get out he needs to fill it with number0 gallons of water . if the hole initially has number1 gallons how much water does he need to fill it ?,- number0 number1,147.0,823.0 676.0
"Nancy had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",/ - number0 number1 number2,9.0,101.0 47.0 6.0
jerry had to sell boxes of candy . he started out with number0 boxes and then sold number1 how many boxes did he have left ?,- number0 number1,5.0,10.0 5.0
"Isabel picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",/ - number0 number2 number1,7.0,66.0 8.0 10.0
"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?",/ number0 number1,5.0,25.0 5.0
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents . what 's the difference between the cost of the cookies and the money of diane ?,- number0 number1,38.0,65.0 27.0
Oliver had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,- + number0 number1 number2,1.0,35.0 50.0 84.0
"Jerry made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",/ + number0 number1 number2,9.0,14.0 31.0 5.0
"If number0 of a pound is worth number1 dollars , how much is number2 pounds worth ?",* / number1 number0 number2,9.0,0.6667 8.0 0.75
"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",/ + number0 number1 number2,9.0,8.0 19.0 3.0
A restaurant made number0 hamburgers to serve during lunch . Only number1 were actually served . How many hamburgers were over from lunch ?,- number0 number1,6,9.0 3.0
mrs. hilt saw number0 bees in the hive . the next day she saw number1 times that many . how many bees did she see on the second day ?,* number0 number1,432.0,144.0 3.0
How many cookies would you have if you had number0 bags of cookies with number1 cookies in each bag ?,* number0 number1,703.0,37.0 19.0
a store had number0 packs of paper for $ number1 . how much would it cost if you were to buy number2 packs ?,* / number1 number0 number2,7.74,3.0 3.87 6.0
a florist had number0 roses . if she sold number1 of them and then later picked number2 more how many roses would she have ?,+ - number0 number1 number2,56.0,50.0 15.0 21.0
number0 boys went to water trees . there were number1 trees . if each of them watered the equal amount of trees how many trees did each boy water ?,/ number1 number0,3.2222222222,9.0 29.0
number0 birds were sitting in a tree . number1 more birds flew up to the tree . How many birds were there altogether in the tree ?,+ number0 number1,217.0,179.0 38.0
Irene just bought a new lamp for her bedside table . The old lamp was number0 foot tall and the new lamp is number1 feet tall . How much taller is the new lamp than the old lamp ?,- number1 number0,1.3333333333333333,1.0 2.3333333333333335
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird species how many reptile species did she see ?,- number0 + number1 number2,136.0,532.0 253.0 143.0
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,/ - number0 number1 number2,5.0,40.0 20.0 4.0
Kelly has number0 Nintendo games . How many does she need to give away so that she will have number1 games left ?,- number0 number1,15.0,50.0 35.0
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,+ number0 number1,43.0,14.0 29.0
mrs. hilt has number0 cents . a pencil costs number1 cents . how many pencils can she buy with the money she has ?,/ number0 number1,10.0,50.0 5.0
A car traveled number0 kilometers in number1 hours . What was its average speed ?,/ number0 number1,65.0,715.0 11.0
Wayne collects number0 blocks . Wayne 's father gives Wayne number1 more . How many blocks does Wayne have ?,+ number0 number1,15.0,9.0 6.0
"Allyson plays for the cook county regional football league which has number0 teams . During a season , each team plays the other team number1 twice , once at home and one away . How many total games are played in one season ?",/ * * - number0 1.0 number0 number1 number1,90.0,10.0 2.0
chris is inviting number0 friends to a party . he has number1 cookies and number2 peices of candy . how many cookies will each friend get ?,/ number1 number0,22.0,82.0 1804.0 10.0
"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",* + number0 number1 number2,50.0,5.0 5.0 5.0
"Edward started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies , how much money did he end up with ?",- + number0 number1 number2,24.0,2.0 27.0 5.0
emily 's mom was buying extra school supplies for emily and her sister . she bought number0 packs of glue sticks total . if she gave emily number1 packs how many did her sister get ?,- number0 number1,7.0,13.0 6.0
adam put number0 items in the shopping cart . after deleting some he had number1 left . how many items did adam delete ?,- number0 number1,10.0,18.0 8.0
"There were a total of number0 football games this year , number1 are played at night . Keith missed number2 of the games . How many football games did Keith go to in total ?",- number0 number1,4,8.0 4.0 4.0
"Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,7.0,17.0 14.0 24.0
"Jason went to number0 football games this month . He went to number1 games last month , and plans to go to number2 games next month . How many games will he attend in all ?",+ + number0 number1 number2,44,11.0 17.0 16.0
Professor Ellison weighed number0 pieces of metal for an experiment . The piece of iron weighed number1 pounds and the piece of aluminum weighed number2 pound . How much more did the piece of iron weigh than the piece of aluminum ?,- number1 number2,10.333333333333334,2.0 11.166666666666666 0.8333333333333334
at the end of the party mona gave away some souvenirs to her number0 closest friends . if each of them received number1 souvenir items how many souvenirs did mona give away ?,* number0 number1,12.0,6.0 2.0
tiffany was sending out birthday invitations to her friends . she sent out number0 on monday and number1 on tuesday . how many did she send total ?,+ number0 number1,17.0,9.0 8.0
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",- + number0 number1 number2,31.0,37.0 45.0 51.0
mike has number0 action figures he wants to display . if each shelf in his room can hold number1 figures how many shelves does he need ?,/ number0 number1,8.0,64.0 8.0
Wanda has number0 blocks . Theresa gives Wanda number1 more . How many blocks does Wanda have in all ?,+ number0 number1,83.0,4.0 79.0
robyn and lucy are members of their village 's girl scout troop . during weekends and some weekdays they go around selling cookies in the neighborhood . they have a week before the month ends and they are doing their best to get a badge from selling cookies . working overtime robyn sold number0 packs of cookies while lucy sold number1 how many packs of cookies were they able to sell that day ?,+ number0 number1,76.0,47.0 29.0
cody had number0 old video games he wanted to get rid of . if he gave his friend number1 of the games how many does he still have ?,- number0 number1,5.0,9.0 4.0
Nancy bought number0 crayons that came in packs of number1 . How many packs of crayons did Nancy buy ?,/ number0 number1,41.0,615.0 15.0
"While playing a trivia game , George answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",* + number0 number1 number2,30.0,6.0 4.0 3.0
There were number0 geese and number1 ducks in the marsh . How many birds were in the marsh ?,+ number0 number1,95.0,58.0 37.0
gwen 's class is going on a field trip to the zoo . if each van can hold number0 people and there are number1 students and number2 adults going how many vans will they need ?,/ + number1 number2 number0,6.0,7.0 33.0 9.0
Debra removes number0 apples from a jar . There were originally number1 apples in the jar . How many apples are left in the jar ?,- number1 number0,35.0,22.0 57.0
Amy starts with number0 peanuts . Gerald gives Amy number1 more . How many peanuts does Amy end with ?,+ number0 number1,62.0,7.0 55.0
a pet store had number0 birds that talked and number1 that did n't . how many birds did the pet store have total ?,+ number0 number1,77.0,64.0 13.0
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks there how many sets of clothes did he bring ?,* number0 number1,120.0,30.0 4.0
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",* + number0 number2 number0,40.0,5.0 5.0 3.0
tony had $ number0 . he paid $ number1 for a ticket to a baseball game . at the game he bought a hot dog for $ number2 . what amount of money did tony have then ?,- - number0 number1 number2,9.0,20.0 8.0 3.0
Adolfo made a tower with number0 blocks . He added some more blocks and now he has number1 blocks . How many did he have to add ?,- number1 number0,30.0,35.0 65.0
Eugene has number0 pencils . He gets number1 more from Joyce . How many pencils does Eugene have in all ?,+ number0 number1,57.0,51.0 6.0
the next museum on her list is the guggenheim in new york as well . there she gave number0 sets of egyptian mask from her collection of number1 how many sets of masks were left in alicia 's collection ?,- number1 number0,39.0,51.0 90.0
"Shannon , Brenda ’ s neighbor , joined Brenda in making bracelets . She brought number0 heart - shaped stones and wanted to have number1 of this type of stone in each of the bracelet she makes . How many bracelets with heart - shaped stones can Shannon make ?",/ number0 number1,6.0,48.0 8.0
Melissa has number0 bananas . She shares number1 with Joshua . How many bananas will Melissa have ?,- number0 number1,84.0,88.0 4.0
"If there are number0 bottle caps in a box and Linda puts number1 more bottle caps inside , how many bottle caps are in the box ?",+ number0 number1,14.0,7.0 7.0
"If each ball costs $ number0 , how much must Kyoko pay for number1 balls ?",* number0 number1,4.62,1.54 3.0
Jessica is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour . How many cups of flour does she need to add ?,- number0 number2,4,8.0 2.0 4.0
wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each . how many pieces did they have total ?,+ * number1 number2 number0,12.0,6.0 2.0 3.0
"For the school bake sale Carol made number0 cupcakes . If she sold number1 of them and then made number2 more , how many cupcakes would she have ?",- + number0 number2 number1,49.0,30.0 9.0 28.0
"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* + number1 number2 number0,32.0,4.0 5.0 3.0
if each piece costs number0 cents how much would number1 pieces of bubble gum cost ?,* number0 number1,2448.0,18.0 136.0
"Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* + number0 number1 number0,40.0,5.0 3.0 5.0
A DVD book holds number0 DVDs . There are number1 DVDs already in the book . How many more DVDs can be put in the book ?,- number0 number1,45.0,126.0 81.0
isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long . how much hair did she grow ?,- number1 number0,6.0,18.0 24.0
"Michelle began her pizza delivery route with number0 tank of gas in her car . When she made it back to the pizzeria , number1 tank of gas was . How much gas did Michelle use ?",- number0 number1,0.3333333333333333,0.5 0.16666666666666666
there are number0 students in a school . if the school has number1 grades and each grade had the same number of students how many students were in each grade ?,/ number0 number1,48.0,336.0 7.0
an architect was building a hotel downtown . he built it number0 stories tall with number1 rooms on each story . how many rooms does the hotel have totaled ?,* number0 number1,24.0,3.0 8.0
Alyssa picked number0 pears and Nancy picked number1 pears from the pear tree . How many pears were picked in all ?,+ number0 number1,59.0,42.0 17.0
Sally had number0 quarters in her bank . She spent number1 of her quarters . How many quarters does she have now ?,- number0 number1,342,760.0 418.0
"At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Kaleb spend riding the ferris wheel ?",* - number0 number1 number2,27.0,6.0 3.0 9.0
Marie can bike at a speed of number0 miles an hour . How far can she bike in number1 hours ?,* number0 number1,372.0,12.0 31.0
"Kimberly has number0 Skittles . She buys number1 more . Later , Kimberly buys number2 oranges at the store . How many Skittles does Kimberly have in all ?",+ number0 number1,12.0,5.0 7.0 18.0
"For Halloween Janet and her sister combined the candy they received . Janet had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?",- + number0 number1 number2,63.0,34.0 33.0 4.0
frank had $ number0 . after buying some new toys he had $ number1 left . how much did he spend on toys ?,- number0 number1,8.0,16.0 8.0
number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree . how many more flew up to the tree ?,- number1 number0,13.0,29.0 42.0
adam had number0 dollars saved up . after doing some chores his mother gave him another number1 dollars . how much money does he have total ?,+ number0 number1,92.0,79.0 13.0
"Alyssa bought some toys . She bought a football for $ number0 , and spent $ number1 on marbles . In total , how much did Alyssa spend on toys ?",+ number0 number1,12.3,5.71 6.59
Brenda starts with number0 Skittles . She buys number1 more . How many Skittles does Brenda end with ?,+ number0 number1,15.0,7.0 8.0
when they arrived at the island 's starting point they looked at the clues and found out that the number of steps they need to take to get to the next clue is the difference between number0 and number1 how many steps do they have to take to get to the next clue ?,- number0 number1,168.0,537.0 369.0
in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles how many will each of the boys receive ?,/ number1 number0,7.0,5.0 35.0
"Last year , number0 people were born in a country , and number1 people immigrated to it . How many new people began living in the country last year ?",+ number0 number1,106491.0,90171.0 16320.0
marian 's friends were coming over that afternoon so she made number0 bite-sized pretzels . if number1 serving is equal to number2 pretzels how many servings of bite-sized pretzels was marian able to prepare ?,/ number0 number2,40.0,480.0 1.0 12.0
thanksgiving is coming and dr. mary wants to celebrate it by sharing her blessing to different charities . she first went to oldtown where she donated $ number0 in total to number1 different nursing homes . if she gave $ number2 to the first home and $ number3 to the second how much did she give to the third home ?,- number0 + number2 number3,230.0,700.0 3.0 245.0 225.0
"Mark 's father gave him $ number0 . Mark bought number1 books , each of which cost $ number2 . How much money does Mark have left ?",- number0 * number1 number2,35.0,85.0 10.0 5.0
"While making desserts for a bake sale , Victor used number0 scoop of brown sugar as well as number1 scoop of white sugar . How much more brown sugar did Victor use ?",- number0 number1,0.375,0.625 0.25
rick and todd have the same number of candy bars . rick ate number0 candy bars . todd gave away number1 of his candy bars . how many more candy bars did rick have than todd then ?,- number1 number0,7.0,11.0 18.0
"At the schools book fair Victor bought number0 adventure books and number1 mystery books . If number2 of the books were used , how many new books did he buy ?",- + number0 number1 number2,53.0,32.0 37.0 16.0
"Pamela bought number0 ounces of sugar , and she spilled number1 ounces of it on the floor . How much is ?",- number0 number1,4.6,9.8 5.2
"At the town carnival Oliver rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets , how many tickets did he use ?",* + number0 number1 number2,63.0,5.0 4.0 7.0
the host prepared number0 cakes for the party . after the party he had number1 left . how many cakes did people eat in the party ?,- number0 number1,10.0,19.0 9.0
tom had $ number0 and he wanted to buy as many folders as he could . if number1 folder costs $ number2 how many folders can tom buy ?,/ number0 number2,9.5,19.0 1.0 2.0
"In number0 week , Mitch 's family drank number1 carton of regular milk and number2 carton of soy milk . How much milk did they drink in all ?",+ number1 number2,0.6,1.0 0.5 0.1
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number2,9.0,96.0 42.0 6.0
"The total number of students absent from B. Jones High School on a Monday after a significant snow fall was number0 . The total attendance that day was number1 . How many students , in total , attend B. Jones High School ?",+ number0 number1,1705.0,218.0 1487.0
mrs. sheridan has number0 cats . mrs. garrett has number1 cats . what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?,- number1 number0,13.0,11.0 24.0
robert made $ number0 at work . he spent $ number1 on a pen and $ number2 for a calculator . how much money did he have left ?,- - number0 number1 number2,56.0,76.0 6.0 14.0
i read number0 pages of my english book yesterday . today i read number1 pages . what is the total number of pages did i read ?,+ number0 number1,38.0,21.0 17.0
mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges . how many friends were carrying oranges ?,- number0 number1,6.0,15.0 9.0
after giving out clothes he invited the homeless to the nearest soup kitchen to give them a proper meal . if he fed number0 men and number1 women how many homeless people was he able to feed ?,+ number0 number1,547.0,219.0 328.0
the ski resort reported number0 inches of snow in january . they measured number1 inches of snow during the first week . they measured number2 inches of snow the second week . how much snow did they get the rest of the month ?,- - number0 number1 number2,22.0,65.0 18.0 25.0
"Kaleb had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",/ + number0 number1 number2,6.0,21.0 15.0 6.0
Pamela has number0 Skittles . She gives number1 to Karen . How many Skittles will Pamela have ?,- number0 number1,43.0,50.0 7.0
Sean has number0 whistles . He has number1 more whistles that Charles . How many whistles does Charles have ?,- number0 number1,13.0,45.0 32.0
Oscar 's bus ride to school is number0 mile and Charlie 's bus ride is number1 mile . How much longer is Oscar 's bus ride than Charlie 's ?,- number0 number1,0.5,0.75 0.25
"Lexie ’ s younger brother helped pick up all the paper clips in Lexie ’ s room . He was able to collect number0 paper clips . If he wants to distribute the paper clips in number1 boxes , how many paper clips will each box contain ?",/ number0 number1,9.0,81.0 9.0
"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",+ number0 number1,8.0,4.0 4.0
the school is planning a field trip . there are number0 students and number1 seats on each school bus . how many buses are needed to take the trip ?,/ number0 number1,6.0,60.0 10.0
There are number0 pencils in the drawer . Tim placed number1 more pencils in the drawer . How many pencils are now there in total ?,+ number0 number1,5.0,2.0 3.0
There are number0 maple trees and number1 popular trees currently in the park . Park workers will plant number2 maple trees today . How many maple trees will the park have when the workers are finished ?,+ number0 number2,11,2.0 5.0 9.0
Jane buys an apple for $ number0 and pays with a $ number1 bill . How much change will she get ?,- number1 number0,4.25,0.75 5.0
"A bee colony produced number0 pounds of honey , but bears ate number1 pounds of it . How much honey remains ?",- number0 number1,0.31,0.36 0.05
being concerned with the ecology of lakes hazel and her dad returned the youngling fishes they caught . if they took number0 fishes from lake ontario and erie number1 fishes from lake huron and michigan and number2 from lake superior how many fishes will they bring home with them ?,+ + number0 number1 number2,97.0,23.0 30.0 44.0
There are number0 walnut trees and number1 orange trees currently in the park . Park workers had to cut down number2 walnut trees that were damaged . How many walnut trees will be in the park when the workers are finished ?,- number0 number2,29,42.0 12.0 13.0
after visiting the museum benjamin went back to the hotel where he prepared for new year 's eve at the annual times square ball drop . to get there he took number0 steps to the rockefeller center then number1 steps to times square itself . how many steps did he take before reaching times square ?,+ number0 number1,582.0,354.0 228.0
Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,- number0 number1,208.0,344.0 136.0
"Vincent bought number0 books about animals , number1 book about outer space , and number2 books about trains . Each book cost $ number3 . How much did Vincent spend on the books ?",* + + number0 number1 number2 number3,224.0,10.0 1.0 3.0 16.0
"Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Katie pick ?",- + number0 number1 number2,2.0,3.0 9.0 10.0
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",+ number0 number1,121.0,36.0 85.0
Martin has number0 boxes of crayons . Each box holds number1 crayons . How many crayons does Martin have ?,* number0 number1,56.0,8.0 7.0
at the fair haley went on number0 rides in the day and number1 at night . how many rides did haley go on total ?,+ number0 number1,9.0,6.0 3.0
charlie has number0 more snowballs than lucy . she has number1 snowballs . how many does charlie have ?,+ number0 number1,50.0,31.0 19.0
There are number0 erasers in a box . Jane has number1 erasers in a bag . Doris takes number2 erasers out of the box . How many erasers are left in the box ?,- number0 number2,15.0,69.0 15.0 54.0
A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,- + number0 number2 number1,36.0,40.0 25.0 21.0
olivia was buying dvds of her favorite tv series . each season had number0 dvds . if she bought number1 seasons how many dvds did she buy total ?,* number0 number1,40.0,8.0 5.0
there were number0 girls and number1 boys trying out for the schools basketball team . if only number2 of them got called back how many students did n't make the cut ?,- + number0 number1 number2,39.0,17.0 32.0 10.0
Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,+ number0 number1,11,6.0 5.0
at the edge of the forest an anthill is blocking the way out . in order to pass through he needs to help the ants gather food . if the ants need number0 grains of food and they already have number1 how many more grains are needed to be gathered ?,- number0 number1,149.0,911.0 762.0
Tim has saved number0 cents from selling lemonade . How many dollars does Tim have ?,/ number0 100.0,20.0,2000.0
the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday . how many pieces of litter did they pick up altogether ?,+ number0 number1,18.0,10.0 8.0
ryan collected number0 leaves . he lost number1 leaves and threw away number2 leaves . how many leaves did ryan have left ?,- - number0 number1 number2,22.0,89.0 24.0 43.0
amanda and her friends decided to go to an amusement park for the weekend . the nearest amusement park from their city is super fun-tastic land . if they cover a distance of number0 miles for every hour of travel and they travelled for number1 hours how far is sfl from the city ?,* number0 number1,81.0,27.0 3.0
Rachel was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Rachel have total ?,* + number1 number2 number0,49.0,7.0 3.0 4.0
an industrial machine made number0 shirts . it can make number1 shirts a minute . how many minutes was the machine working ?,/ number0 number1,6.0,12.0 2.0
"Mike has number0 orange marbles , he gave Sam number1 of the marbles . How many orange marbles does he now have ?",- number0 number1,4.0,8.0 4.0
james ate number0 carrot sticks before dinner and number1 more after dinner . how many carrot sticks did he eat ?,+ number0 number1,37.0,22.0 15.0
olivia owned number0 pennies . after she bought an apple she had number1 pennies left . how many did she spend for the apple ?,- number0 number1,37.0,93.0 56.0
Carlos starts with number0 bananas . number1 are eaten by a hippopotamus . How many bananas does Carlos end with ?,- number0 number1,36.0,39.0 3.0
Sara 's high school played number0 basketball games this year . The team won most of their games . They were defeated during number1 games . How many games did they win ?,- number0 number1,8,12.0 4.0
A dealer pays number0 dollars for a car . The dealer wants to make a profit that is number1 % of the selling price . For how much should the dealer sell the car ?,* + * number1 0.01 1.0 number0,7500.0,6000.0 25.0
"Roger is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Roger with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",/ - number0 number1 number2,4.0,14.0 2.0 3.0
She counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . Every box can contain number1 crayons . How many boxes does she need ?,/ number0 number1,10.0,80.0 8.0
Ellen went to a garage sale to buy chairs . Each chair is number0 dollars . How much did Ellen spend for the number1 chairs she bought ?,* number0 number1,180.0,15.0 12.0
Anna collects number0 blocks . Anna 's father gives Anna number1 more . How many blocks does Anna have ?,+ number0 number1,14.0,6.0 8.0
There are number0 pencils in a box . Eric takes number1 pencils . How many are left ?,- number0 number1,75.0,79.0 4.0
Nancy has number0 black balloons . Mary has number1 times more black balloons than Nancy . How many black balloons does Mary have now ?,* number0 number1,28.0,7.0 4.0
"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",* - number0 number1 number2,32.0,9.0 5.0 8.0
"A vase can hold number0 flowers . If you had number1 carnations and number2 roses , how many vases would you need to hold the flowers ?",/ + number1 number2 number0,9.0,6.0 7.0 47.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,3.0,180.0 60.0
Linda has number0 candies . Chloe has number1 . How many candies do they have in all ?,+ number0 number1,62.0,34.0 28.0
while playing basketball team a scored number0 points . if each person scored number1 points how many people were playing ?,/ number0 number1,9.0,18.0 2.0
there are number0 students and number1 apples . each student has number2 skittles . if the apples are divided equally among the students how many does each student get ?,/ number1 number0,40.0,43.0 1720.0 9.0
shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more . how many gold stars did shelby earn in all ?,+ number0 number1,7.0,4.0 3.0
"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",* - number0 number1 number2,30.0,13.0 8.0 6.0
at a bus stop number0 people got off the bus . now there were number1 people on the bus . what 's the difference between the number of people getting off the bus and still on the bus ?,- number1 number0,85.0,5.0 90.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,5.0,45.0 9.0
Your class is having a pizza party . You buy number0 pizzas . Each pizza has number1 slices . How many slices is that altogether ?,* number0 number1,20.0,5.0 4.0
Sara picked number0 pears and number1 apples from the orchard . She gave number2 pears to Dan . How many pears does Sara have ?,- number0 number2,7,35.0 27.0 28.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* - number0 number1 number2,18.0,5.0 2.0 6.0
"For his car , Mike spent $ number0 on speakers and $ number1 on new tires . Mike wanted number2 CD 's for $ number3 but decided not to . In total , how much did Mike spend on car parts ?",+ number0 number1,224.87,118.54 106.33 3.0 4.58
jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time how many jars will she need ?,/ number0 number1,7.0,56.0 8.0
"While shopping , Maria bought number0 green towels and number1 white towels . If she gave her mother number2 of them , how many towels did Maria end up with ?",- + number0 number1 number2,19.0,40.0 44.0 65.0
Nancy has saved number0 dozen quarters from washing cars . How much money does Nancy have ?,* 12.0 0.25,3.0,1.0
jerry is helping to put away books . if he has number0 books to put away and each shelf can hold number1 books how many shelves will he need ?,/ number0 number1,3.0,12.0 4.0
There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,+ number0 number2,12,3.0 6.0 9.0
at the zoo zoe took number0 pictures . if her sister took another number1 pictures how many did they take total ?,+ number0 number1,84.0,67.0 17.0
misha has number0 dollars . how many dollars does she have to earn to have number1 dollars to buy a dog ?,- number1 number0,13.0,34.0 47.0
lawrence has number0 marbles . if he shares them among number1 friends how many marbles does each friend get ?,/ number0 number1,86.0,5504.0 64.0
marin has number0 apples and donald has number1 apples . how many apples do marin and donald have together ?,+ number0 number1,11.0,9.0 2.0
paul was reading through his favorite book series . each week he read number0 different books . how many books would he have read through after number1 weeks ?,* number0 number1,20.0,4.0 5.0
jane can arrange number0 vases of flowers in a day . if there are number1 vases of flowers to be arranged how many days are needed for her to finish all the flower arrangements ?,/ number1 number0,15.5,16.0 248.0
at the fair amy started with number0 tickets and then bought number1 more . how many tickets did amy have total ?,+ number0 number1,54.0,33.0 21.0
A group of number0 friends went into a restaurant . The chef already had number1 chicken wings cooked but cooked number2 more for the group . If they each got the same amount how many would each person get ?,/ + number1 number2 number0,4.0,4.0 9.0 7.0
peter had number0 marbles in his pocket . he lost some when he went outside to play . now he only has number1 marbles . how many marbles did peter lose ?,- number0 number1,15.0,33.0 18.0
